design,scenario,level,fold,accuracy,measles_recall,measles_precision,coverage,caught_or_referred
3 v2 + refer if key fields unknown,combined,0.1,3,0.8671706263498921,0.9867549668874173,0.8922155688622755,0.9645833333333333,0.9875
1 old (unknown looks like no),combined,0.2,3,0.6083333333333333,0.7375,0.6483516483516484,1.0,0.7375
2 v2 (unknown-aware),combined,0.2,3,0.6927083333333334,0.925,0.7047619047619048,1.0,0.925
3 v2 + refer if key fields unknown,combined,0.2,3,0.7164366373902133,0.9420289855072463,0.7065217391304348,0.8302083333333333,0.95
1 old (unknown looks like no),combined,0.3,3,0.5291666666666667,0.56875,0.56875,1.0,0.56875
2 v2 (unknown-aware),combined,0.3,3,0.6333333333333333,0.8875,0.5966386554621849,1.0,0.8875
3 v2 + refer if key fields unknown,combined,0.3,3,0.6747181964573269,0.91,0.5947712418300654,0.646875,0.94375
1 old (unknown looks like no),missing,0.0,4,0.96875,1.0,1.0,1.0,1.0
2 v2 (unknown-aware),missing,0.0,4,0.9677083333333333,1.0,1.0,1.0,1.0
3 v2 + refer if key fields unknown,missing,0.0,4,0.9677083333333333,1.0,1.0,1.0,1.0
1 old (unknown looks like no),missing,0.05,4,0.9322916666666666,0.95625,0.95625,1.0,0.95625
2 v2 (unknown-aware),missing,0.05,4,0.9625,1.0,1.0,1.0,1.0
3 v2 + refer if key fields unknown,missing,0.05,4,0.9640591966173362,1.0,1.0,0.9854166666666667,1.0
1 old (unknown looks like no),missing,0.1,4,0.88125,0.90625,0.9477124183006536,1.0,0.90625
2 v2 (unknown-aware),missing,0.1,4,0.9489583333333333,1.0,0.9937888198757764,1.0,1.0
3 v2 + refer if key fields unknown,missing,0.1,4,0.9550438596491229,1.0,0.9934640522875817,0.95,1.0
1 old (unknown looks like no),missing,0.2,4,0.8104166666666667,0.80625,0.8835616438356164,1.0,0.80625
2 v2 (unknown-aware),missing,0.2,4,0.9177083333333333,0.98125,0.9751552795031055,1.0,0.98125
3 v2 + refer if key fields unknown,missing,0.2,4,0.9392405063291139,0.9851851851851852,0.9851851851851852,0.8229166666666666,0.9875
1 old (unknown looks like no),missing,0.3,4,0.7166666666666667,0.675,0.8181818181818182,1.0,0.675
2 v2 (unknown-aware),missing,0.3,4,0.875,0.95,0.987012987012987,1.0,0.95
3 v2 + refer if key fields unknown,missing,0.3,4,0.9258114374034003,0.9626168224299065,1.0,0.6739583333333333,0.975
1 old (unknown looks like no),combined,0.0,4,0.96875,1.0,1.0,1.0,1.0
2 v2 (unknown-aware),combined,0.0,4,0.9677083333333333,1.0,1.0,1.0,1.0
3 v2 + refer if key fields unknown,combined,0.0,4,0.9677083333333333,1.0,1.0,1.0,1.0
1 old (unknown looks like no),combined,0.05,4,0.89375,0.91875,0.91875,1.0,0.91875
2 v2 (unknown-aware),combined,0.05,4,0.9322916666666666,1.0,0.9580838323353293,1.0,1.0
3 v2 + refer if key fields unknown,combined,0.05,4,0.9316508937960042,1.0,0.9578313253012049,0.990625,1.0
1 old (unknown looks like no),combined,0.1,4,0.8,0.9125,0.7564766839378239,1.0,0.9125
2 v2 (unknown-aware),combined,0.1,4,0.859375,0.99375,0.8548387096774194,1.0,0.99375
3 v2 + refer if key fields unknown,combined,0.1,4,0.8614190687361419,0.9932885906040269,0.8554913294797688,0.9395833333333333,0.99375
1 old (unknown looks like no),combined,0.2,4,0.61875,0.73125,0.6428571428571429,1.0,0.73125
2 v2 (unknown-aware),combined,0.2,4,0.7208333333333333,0.91875,0.6743119266055045,1.0,0.91875
3 v2 + refer if key fields unknown,combined,0.2,4,0.7355889724310777,0.9051094890510949,0.6739130434782609,0.83125,0.91875
1 old (unknown looks like no),combined,0.3,4,0.5052083333333334,0.50625,0.49693251533742333,1.0,0.50625
2 v2 (unknown-aware),combined,0.3,4,0.59375,0.8375,0.5702127659574469,1.0,0.8375
3 v2 + refer if key fields unknown,combined,0.3,4,0.6271186440677966,0.8857142857142857,0.5636363636363636,0.6760416666666667,0.925
